fewsparameter;2130-EAG-1;2150-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXT380;4.325;4.7875;3.766666667;13.48333333;4.975;2.798418803;;;;8.291666667;16.83333333;1.804861111;;6.925;8.084027778;9.658333333;;11.85;3.079166667;11.275;9.8375;12.0625;9.169444444;4.8;7.683333333;8;18;;;50.66666667;48.94125;9.725;6.974673203;7.320833333;4.45;2.583333333;2.215;11.41893939;;10.79166667;9.5175;9.133333333;14.66666667;8.225;;13.06730769;21.73333333;13.55833333;10.45833333;9.666666667;9.7;;12.09166667;8;7.708333333;19.91666667;11.36666667;9.641666667;3.4125;4.513888889;6.558333333;16.4;11.29074074;17.41111111;10.05;;10.3125;;;;33.01666667;8.4375;10.375;20.31666667;;1.978345411;5.345833333;7.7;4.733333333;5.808333333;5.375;3.086666667;8.444444444;2.633333333;7.183333333;5.125;5.216666667;;7.063333333;8.05;11.7625;8.883333333;7.411904762;1.885;16.025;3.304166667;3.925;4.777777778;14.78333333;30;17;3.616666667;4.011111111;7.459722222;1.39375;3.183333333;;5.891666667;2.494444444;4.783333333;;4.858333333;2.344047619;9.967973856;6.38;12.27222222;2.533333333;2.569444444;3.872222222;4.338888889;4.616666667;3.263888889;6.363333333;4.1375;8.422222222;6.465185185;1.525;4.875;;;;4.85;3.116666667;6.233333333;1.4625;10.5625;22;16.15;9.225;8.8;1.632777778;1.684375;4.816666667;5.213888889;4.891666667;13.44444444;5.192272727;6.226678877;;3.05;6.391666667;2.291666667;;1.225;5.591666667;;;;;6.847222222;3.477777778;6.452777778;5.898148148;2.922222222;3.883333333;4.55;11.09166667;12.94166667;11;9.566666667;9;10.14166667;;;;;13.425;;5.141666667;4.041666667;3.883333333;6.901851852;4.683333333;7.716666667;3.160416667;4.366666667;6.6625;;6.683333333;3.1;5.8375;9.366666667;1.908571429;2.5;5.8875;5.241666667;5.533333333;11.51666667;7.011296296;3.308333333;5.9125;5.3375;;7.266666667;;12.6125;4.25;3.175;5.675;;7.525;;3.5125;3.37;3.075;;6.485;2.655555556;2.991666667;;1.6125;;2.452777778;3.491666667;4.083333333;4.4;;6.208333333;;7.055952381;5.3;10.46666667;10.59166667;;4.4;4.175;2.352657005;4.471269841;6.4625;4.35;5.958333333;5.433333333;3.883333333;4.716666667;5.35
EXT440;1.3375;1.4875;1.183333333;4.483333333;1.625;0.817948718;;;;2.76;5.791666667;0.56875;;2.333333333;2.594444444;3.3;;3.875;0.983333333;3.616666667;3.1375;4.175;2.991666667;1.716666667;2.508333333;2.6;6.15;;;17.75;18.47625;3.1375;2.311873638;2.545833333;1.375;0.75;0.666666667;3.706313131;;3.575;3.2425;3.016666667;4.666666667;2.729166667;;4.638461538;8.641666667;4.347916667;3.341666667;3.175;3.1;;3.733333333;2.65;2.558333333;6.720833333;3.983333333;3.308333333;1.054166667;1.480555556;2.255;5.8;3.74;6.26;3.308333333;;3.2625;;;;11.37103175;2.625;3.2625;6.816666667;;0.701207729;1.766666667;2.5;1.591666667;1.975;1.808333333;1.016666667;2.883333333;0.958333333;2.713333333;1.675;1.708333333;;2.4;2.658333333;4.091666667;3.433333333;2.454761905;0.653333333;5.133333333;1.1875;1.358333333;1.616666667;5.016666667;10.55;5.6;1.308333333;1.416666667;2.656944444;0.4875;1.041666667;;2.05;0.843055556;1.808333333;;1.616666667;0.801984127;3.446732026;2.12;4.15;0.883333333;0.886111111;1.302777778;1.508333333;1.561111111;1.122222222;2.243333333;1.425;2.906944444;2.268518519;0.4;1.7;;;;1.49375;1.070833333;1.9625;0.4625;3.541666667;7.65;5.533333333;3.091666667;2.8;0.582222222;0.559375;1.616666667;1.986111111;1.741666667;4.663888889;1.756818182;2.138705739;;1.041666667;2.133333333;0.733333333;;0.35;1.933333333;;;;;2.252777778;1.261111111;2.175;2.003703704;1;1.35;1.538888889;4.066666667;4.641666667;4.1;3.366666667;3;3.308333333;;;;;4.25;;1.691666667;1.391666667;1.316666667;2.39537037;1.583333333;2.591666667;1.060416667;1.391666667;2.783333333;;2.316666667;1;2.5;3.966666667;0.676190476;0.908333333;1.9125;1.604166667;1.741666667;4.266666667;2.390740741;1.175;2;1.775;;2.408333333;;4.7375;1.475;1.1;1.89375;;2.408333333;;1.15;1.235;1.275;;2.087222222;0.916666667;0.997222222;;0.5375;;0.833333333;1.266666667;1.3;1.3;;2.008333333;;2.228571429;1.6;3.383333333;3.45;;1.3;1.366666667;0.717391304;1.431428571;2.066666667;1.383333333;1.975;1.783333333;1.25;1.6;1.75
EYBRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EYPRTON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FE;;0.9;;;;;;;;;1.3;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.9;;;;;;;;;;;;1.1;;;;;;;;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FE-1;;0.06;;;;;;;;;0.59;;;;;;;;;;;;;;;;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;0.2;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.155;;;;;;;;;;;;;;;
Fe-2;0.930833333;1.263333333;0.758333333;;0.903333333;0.258402778;;;;;;0.159166667;;;;;;;;;;;;;;;;;;;;;;0.333958333;;;0.07712963;;;;;5.022222222;;;;;;;;;2.005555556;;;0.35;3.291666667;1.763333333;2.083333333;3.508333333;0.105277778;0.108333333;0.175740741;0.586666667;1.217888889;2.134;;;1.966666667;;;;8.7175;;;;;0.486746032;;;;;;;0.72;0.13;0.31;;0.11;;;;;;;0.160416667;;;;;;;;5.493888889;3.238888889;0.603333333;0.106296296;;;;0.478333333;0.603888889;;;;;;;;0.126666667;;;0.431666667;;;;1.320555556;1.214270153;;4.483333333;;;;;;;;;;;;;0.161388889;0.397222222;0.923888889;0.212777778;0.255833333;1.475555556;0.217045455;2.32531746;;;1.088333333;;;;0.768888889;;;;;0.726666667;;0.625;0.690833333;0.106666667;0.252777778;0.139166667;;;;;;;;;;;;;;0.081111111;;;;;;;;;;;;;0.37037037;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.872777778;;;;;1.925;;0.722222222;;;0.77;0.739444444;0.079688889;0.38625;;;;;;;
FEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENCIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENFOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENTON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENTTON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEO;36.5;60.91666667;;38.625;42.83333333;3.00760582;19;;7;15.57638889;47.72222222;1.821759259;32;26.75;45.2037037;27.66666667;46;35;9.256944444;38.01388889;16.375;18.40972222;14.40277778;6;18.01388889;9.5;40.16666667;66.83333333;6.875;35.1875;30.56944444;23.5;15.92539683;18.39351852;1.986111111;1.513888889;1.779513889;67.49324619;9.666666667;14.5625;14.23958333;13.02777778;25.72222222;19.97440087;14.375;17.46527778;14.8125;25.72222222;19.5;14.625;20.49537037;20;21.94444444;11.875;16.88055556;65.16666667;26.66666667;3.0625;5.6875;8.833333333;7.458333333;17.02083333;12.21780303;15.94583333;15.54166667;38;45.16666667;29;7.583333333;25.66666667;58.20972222;26.83333333;26.33333333;22.25694444;12.16666667;8.321180556;6.294642857;7.833333333;2.1375;15.34722222;12.41666667;4.4375;8.916666667;5.888888889;11.90972222;5.027777778;18.54166667;10.65277778;18.10539216;11.84375;22.71180556;17.68055556;9.685185185;2.496031746;7.458333333;2.388888889;6.708333333;9.805555556;28.59722222;41.5;24;2.5;2.875;13.88425926;1.883333333;10.81666667;22.58333333;13.22222222;12.60532407;9.458333333;1.25;10.91666667;9.487037037;12.70039683;17.8125;10.49074074;9.361111111;9.798611111;10.43055556;8.763888889;10.14583333;8.611111111;14.65277778;18.91666667;6.899305556;7.925108932;1.25;6.277777778;6;13;8;15.84375;10.61111111;18.65625;3.770833333;19.63425926;23.91666667;22;27.10185185;19.33333333;5.256944444;1.761111111;15.38888889;13.56944444;17.77083333;16.07638889;9.131628788;4.729392502;8;25.27083333;23.91666667;2.208333333;1.25;3.020833333;10.04166667;9;5.125;4.625;7;14.78472222;8.388888889;12.72916667;12.54166667;8.972222222;19.88888889;12.33333333;11.68055556;14.68055556;35;11.625;11;10.86111111;8.666666667;1.875;1.25;4.916666667;5.222222222;8;19.11111111;12.61111111;17.05555556;5.416666667;17.01388889;12.06944444;15.62962963;15.77777778;12.98611111;1.25;36;15.70833333;8.520833333;16.875;3.868055556;12.60416667;17.22916667;17.98611111;38.94444444;18.04166667;11.73863636;8.020833333;11.08333333;11.85416667;33.41666667;17.80555556;33.375;21.20833333;4.958333333;2.208333333;10.3875;13.95833333;11.60763889;4.666666667;10.90277778;11.03819444;7.1875;5.958333333;14.36805556;5.972222222;3.770833333;7.5;17;3.770833333;5.479166667;7.611111111;16.98611111;9;;15.02777778;68;20.43055556;34;15.94444444;57.22222222;;10;27.16666667;2.76639427;18.79150794;16.0625;47.61111111;16.125;8.916666667;39.5;8.541666667;12.625
FFDON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIPNL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLAXL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLOXPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.058208333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fluacprm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLUFNCT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLUOBIOV;;;;1.1;0.025;0.1225;0.025;;0.025;0.025;0.025;0.60727534;0.025;0.025;0.025;;0.6;0.025;0.025;0.9;;4.510416667;0.025;0.025;0.025;0.025;1.873958333;3.279166667;0.19375;;0.06875;2.5625;0.290625;2.45;0.166666667;0.072222222;0.054645191;0.927272727;0.191666667;0.283333333;2.460416667;1.764583333;0.1;2.614583333;0.275;0.303125;;0.235416667;0.229166667;0.245833333;0.225;3.1375;0.354166667;0.116666667;0.456770833;0.3375;0.3125;0.172916667;1.583333333;0.459722222;0.26712963;;;1.09;0.025;0.025;;1.216666667;1.1;1.083333333;14.68333333;3.75;;2.6375;0.433333333;0.04;;;;0.025;0.025;0.836111111;0.025;1.452777778;1.744444444;0.547222222;17.33402778;0.519444444;0.32;0.133333333;2.091666667;0.808333333;0.193055556;3.314933862;0.0375;0.458333333;0.217361111;0.639583333;0.5;0.116666667;0.025;;;0.313194444;0.410277778;3.658148148;0.320833333;2.358333333;0.422916667;0.025;0.3;0.091666667;4.521339031;1.368055556;1.1125;0.122916667;4.4;3.641666667;3.461111111;0.498611111;0.977777778;4.886744639;3.652083333;;0.114351852;0.072222222;0.03125;0.1;0.025;0.2;0.3;1.215625;1.775694444;1.1875;1.4;4.460825163;0.35;0.116666667;1.002083333;0.025;0.723611111;0.133455285;1.909722222;7.272222222;8.083333333;0.816666667;4.166666667;0.104378019;0.025;0.025;;0.025;0.1;0.5625;0.025;0.025;0.1125;0.025;0.025;0.9;0.025;0.9;0.025;5.75;0.8;4.7;0.183333333;0.025;0.025;;0.025;0.116666667;0.5625;0.05;0.104166667;0.208333333;0.025;0.025;0.86875;0.025;5.897222222;0.0625;2.554166667;0.070833333;0.241666667;0.3125;0.1;0.1;;;0.245833333;;0.5225;0.152083333;0.404166667;;;;0.025;1.85;;0.520833333;1.2875;0.191666667;1.104166667;0.2;;;0.4;1.7375;0.216203704;0.166666667;0.113888889;1.083333333;0.383333333;0.025;0.375;;0.1;;;;;0.025;0.6;0.025;;0.7;0.025;0.15;0.5625;0.5;0.025;0.025;0.025;0.025;2.254735883;0.453472222;0.025;0.025;0.025;;;;
FLUOBLAU;;;;3.8;0.125;0.355833333;0.125;;0.125;0.125;0.125;2.013962905;0.125;0.125;0.125;;2;0.125;0.125;2.9;;15.11875;0.125;0.125;0.125;0.125;6.261458333;11.04583333;0.647916667;;0.271130952;8.6375;0.975;8.234722222;0.5375;0.231944444;0.176704015;3.131818182;0.579166667;0.955555556;8.204166667;5.875;0.333333333;8.74837963;0.9125;1.026041667;;0.795833333;0.783333333;0.845833333;0.766666667;10.45416667;1.1375;0.433333333;1.501041667;1.1375;1.045833333;0.583333333;5.283333333;1.456944444;0.880555556;;;3.61;0.125;0.125;;4.133333333;3.716666667;3.666666667;49.13333333;12.71666667;;8.758333333;1.370833333;0.125;;;;0.125;0.125;2.780555556;0.125;4.830555556;5.805555556;1.841666667;58.46944444;1.765277778;0.95;0.283333333;6.945833333;2.675;0.643055556;11.07742063;0.125;1.530555556;0.7125;2.133333333;1.8;0.383333333;0.125;;;1.043287037;1.381111111;12.13361111;1.05;7.895833333;1.472916667;0.125;0.9;0.220833333;15.07248575;4.592361111;3.669444444;0.35625;14.61666667;12.14027778;11.48888889;1.688888889;3.272222222;16.4337232;12.30208333;;0.392592593;0.211111111;0.125;0.5;0.125;0.5;1;4.042708333;5.796527778;3.9875;4.660416667;14.98754085;1.183333333;0.433333333;3.264583333;0.125;2.406944444;0.455777439;6.422222222;24.25555556;26.85833333;2.770833333;13.88541667;0.314356884;0.125;0.125;;0.125;0.125;1.847916667;0.125;0.125;0.3125;0.125;0.125;3;0.125;3;0.125;19.25;2.6;15.8;0.683333333;0.125;0.125;;0.125;0.4;1.845833333;0.125;0.220833333;0.65;0.125;0.125;2.885416667;0.125;19.45277778;0.2625;8.459722222;0.254166667;0.795833333;1.0125;0.125;0.125;;;0.8;;1.744722222;0.447916667;1.370833333;;;;0.125;6.133333333;;1.6875;4.370833333;0.6625;3.720833333;0.6;;;1.391666667;5.820833333;0.726851852;0.588888889;0.388888889;3.541666667;1.270833333;0.125;1.308333333;;0.125;;;;;0.125;1.933333333;0.125;;2.4;0.125;0.4125;1.9125;1.5;0.125;0.125;0.125;0.125;7.530178997;1.502777778;0.125;0.125;0.125;;;;
FLUOCRYP;;;;37.7;0.125;0.603611111;15.9;;4.8;3.3;125;0.739432036;0.125;12;10;;8.4;0.125;0.125;8.2;;3.427083333;7.9;3.1;29.7;3.6;4.545833333;5.175;1.122916667;;2.611309524;11.32083333;11.04166667;4.358333333;1.85;0.993055556;0.571615313;3.770454545;2.604166667;6.488888889;2.973958333;2.858333333;1.908333333;7.638657407;3.004166667;5.629166667;;3.166666667;14.91666667;4.866666667;1.9;5.2;5.216666667;7.020833333;1.692708333;1.183333333;19.48333333;0.472916667;0.884375;3.0375;1.832407407;;;4.72;6.4;67.8;;10.78333333;1.420833333;16.4;13.60416667;5.704166667;;35.15416667;3.616666667;5.02;;;;2.2;2.7;1.401388889;0.125;1.177777778;1.105555556;2.651388889;2.699305556;0.829166667;0.825;0.4125;15.3875;2.43125;0.744444444;1.38968254;0.2375;1.1375;1.076388889;4.0875;7.2;3.466666667;2.8;;;1.859953704;5.688333333;2.109537037;6.383333333;6.485416667;2.455208333;3;1.7;1.6875;6.662179487;4.030555556;3.497222222;2.429166667;6.827777778;5.846527778;2.455555556;1.929166667;1.493055556;4.596832359;1.427083333;;4.086574074;1.220833333;0.3;1.8;9.5;16;4.4;4.075;3.398842593;2.20625;0.766666667;4.136785131;4.229166667;2.708333333;9.485416667;3.6;1.326388889;1.249446138;2.595833333;5.884722222;6.71875;27.15902778;3.079166667;0.977415459;2.6;16.6;;0.125;1.3;4.202083333;6;0.125;2.25;0.125;0.125;10.9;1.8;7.25;14.95;3.55;11.4;6.8;2.333333333;5.7;15;;8.3;1.316666667;2.025;0.35;0.7125;0.725;0.125;0.125;4.983333333;0.125;2.309722222;5.320833333;1.954166667;0.2375;4.320833333;4.4125;0.5;0.85;;;1.175;;0.974444444;1.302083333;2.716666667;;;;5.75;4.108333333;;8.7375;1.595833333;0.9875;40.4375;3;;;2.752083333;4.170833333;2.691666667;1.456944444;3.959722222;1.1875;1.458333333;3.2;9.304166667;;1.2;;;;;6.4;9;3.35;;9.1;0.125;27;3.7;2.6;44.3;1.1125;1.5125;0.7;1.296198216;2.947916667;16.9;1.1;0.125;;;;
FLUODIAT;;;;128;273;1.983333333;51.7;;27.4;26.6;97.6;4.358294148;70.5;7;80.1;;15.8;215;38.8;127;;46.075;23.35;28.7;27.5;0.25;24.70833333;24.84166667;4.341666667;;27.42619048;32.31666667;9.645833333;7.294444444;1.302777778;0.466666667;0.917016807;23.51363636;5.4625;7.625;7.76875;12.5;19.68333333;5.820833333;2.816666667;14.57916667;;14.9;12.56666667;12.15833333;19.86666667;17.925;13.6;33.56666667;12.73958333;0.783333333;87.06666667;2.145833333;10.32916667;7.516666667;6.009259259;;;16.2;14.8;53.2;;25.61666667;0.608333333;29.66666667;37.58333333;37.2;;16.21666667;5.216666667;10;;;;9.9;0.25;2.502777778;19.1;2.236111111;3.538888889;1.047222222;20.28194444;7.438888889;4.8;0.95;18.78333333;8.4875;6.755555556;1.626322751;4.566666667;3.759722222;9.577777778;7.208333333;17.7;41.93333333;33.4;;;9.350462963;1.962222222;15.8212963;22.54166667;12.16666667;36.10833333;13;2.3;2.425;11.12091168;16.34722222;7.911111111;2.629166667;10.17222222;10.73819444;7.369444444;7.408333333;11.59166667;8.570077973;10.63333333;;23.39351852;1.775;1.033333333;1.5;1.8;51.5;0.25;28.79791667;8.083796296;24.125;3.441666667;6.527328431;21.11666667;19.88333333;24.125;12.13333333;9.241666667;4.961087398;26.05833333;15.90833333;13.9375;22.25833333;7.9875;2.253109903;8.1;58.65;;17.5;0.25;5.425;10;18.2;1.625;7.05;17.1;12.1;10.6;12.8;24.65;6.5;20.3;8;24.6;35.5;43.6;;24.4;3.383333333;10.88333333;3.8;4.941666667;2.258333333;5.3;12.6;27.29166667;15.8;11.6;8.475;20.65;22.5;13.66666667;72.25;0.25;1.45;;;5.016666667;;7.011666667;25.96666667;20.275;;;;35.00833333;4.916666667;;14.01666667;67.78333333;19.66666667;131.95;31.1;;;48.71666667;17.23333333;7.022222222;40.92777778;5.844444444;49.475;3.366666667;2.8;7.091666667;;27.1;;;;;0.25;32.8;1.225;;52.4;88.9;4.975;7.25;105;27.3;41.75;20.9;51.2;1.754695017;23.44722222;24;52.2;35.6;;;;
