gebied;gebiednaam;gebiednaamkort;toetsgebied;KRWWaterlichaamcode;KRWmonitoringslocatie;KRWWatertypeToetsing;KRWWatertypeWBP;KRWWatertypeVoorstel;KRWWatertypeAlternatiefA;KRWWatertypeAlternatiefB;Opmerking1;Opmerking2;OppervlakLandWater;OmtrekWater;OppervlakWater;OppmerkingOpp
3020-EAG-2;Noorder- of Rietpolder (De Krijgsman), Kruitfabriek eo;Noorder-;OvWa_3020-EAG-2_Noorder-;NVT;NVT;;M1a;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;188157;4602;8983;
2130-EAG-3;Noorder Legmeerpolder, Uithoorn;Noorder ;OvWa_2130-EAG-3_Noorder ;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4228753;58523;243718;
2130-EAG-1;Noorder Legmeerpolder, landelijk;Noorder ;OvWa_2130-EAG-1_Noorder ;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;8415281;122783;246094;
2130-EAG-2;Noorder Legmeerpolder, Bovenkerk;Noorder ;OvWa_2130-EAG-2_Noorder ;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3789670;68769;241443;
2130-EAG-4;Noorder Legmeerpolder, Amstelzijde;Noorder ;OvWa_2130-EAG-4_Noorder ;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;212596;4084;10163;
6100-EAG-2;Noorder IJ Polder, Noorder IJplas;Noorder ;OvWa_6100-EAG-2_Noorder ;NVT;NVT;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;115888;1213;82221;
6110-EAG-1;Noorder IJ Polder, Noorder IJ Polder;Noorder ;OvWa_6110-EAG-1_Noorder ;NVT;NVT;M1a;M10;M3;;;;Overgenomen van GAF 6610;1531034;13886;81026;
8090-EAG-2;Nieuw-Sloten, Plesmanstrook;Nieuw-Sl;OvWa_8090-EAG-2_Nieuw-Sl;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;319730;16828;62197;
8090-EAG-1;Nieuw-Sloten, Nieuw-Sloten;Nieuw-Sl;OvWa_8090-EAG-1_Nieuw-Sl;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1264747;15060;96121;
3110-EAG-3;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Nog opknippen in  EAG's;Nieuwe K;OvWa_3110-EAG-3_Nieuwe K;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;980301;32664;227845;
3110-EAG-5;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Nog opknippen in  EAG's;Nieuwe K;OvWa_3110-EAG-5_Nieuwe K;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;6328839;246872;334813;
3110-EAG-1;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Meerlanden, Landbouw ZO;Nieuwe K;OvWa_3110-EAG-1_Nieuwe K;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1594510;42618;491467;
3110-EAG-2;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Hilversumse Bovenmeent;Nieuwe K;OvWa_3110-EAG-2_Nieuwe K;NVT;NVT;M8;M8;M25;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;871799;28199;77704;
3110-EAG-4;Nieuwe Keverdijksche Polder en Hilversumse Bovenmeent, Aalscholverkolonie;Nieuwe K;OvWa_3110-EAG-4_Nieuwe K;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;457842;7892;31756;
3300-EAG-12;Muyeveld, De Ster;Muyeveld;OvWa_3300-EAG-12_Muyeveld;NVT;NVT;M1a;M1a;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;6535560;125984;281200;
8060-EAG-1;Middelveldse Akerpolder, polder;Middelve;OvWa_8060-EAG-1_Middelve;NVT;NVT;M10;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1514228;40880;159851;
2110-EAG-7;Middelpolder onder Amstelveen, zuid;Middelpo;OvWa_2110-EAG-7_Middelpo;NVT;NVT;M1a;M10;M10;M1b;M3;;Overgenomen van GAF 2110;347427;6976;21635;
2110-EAG-4;Middelpolder onder Amstelveen, Natuurgebied;Middelpo;OvWa_2110-EAG-4_Middelpo;NVT;NVT;M1a;M10;M10;M1b;M3;;Overgenomen van GAF 2110;328213;13984;62361;
2110-EAG-6;Middelpolder onder Amstelveen, landelijk en sportpark;Middelpo;OvWa_2110-EAG-6_Middelpo;NVT;NVT;M1a;M10;M10;M1b;M3;;Overgenomen van GAF 2110;1426982;51109;141633;
2110-EAG-3;Middelpolder onder Amstelveen, Bovenland;Middelpo;OvWa_2110-EAG-3_Middelpo;NVT;NVT;M1a;M10;M10;M1b;M3;;Overgenomen van GAF 2110;1956729;75912;216870;
2110-EAG-1;Middelpolder onder Amstelveen, bemalen gebied;Middelpo;OvWa_2110-EAG-1_Middelpo;NVT;NVT;M1a;M10;M10;M1b;M3;;Overgenomen van GAF 2110;1190411;37461;118444;
2110-EAG-5;Middelpolder onder Amstelveen, bebouwd gebied Amstelveen;Middelpo;OvWa_2110-EAG-5_Middelpo;NVT;NVT;M1a;M10;M10;M1b;M3;;Overgenomen van GAF 2110;4531053;37620;209858;
2110-EAG-2;Middelpolder onder Amstelveen, Amsterdamse Bos;Middelpo;OvWa_2110-EAG-2_Middelpo;NVT;NVT;M1a;M10;M10;M1b;M3;;Overgenomen van GAF 2110;732202;14116;74562;
8050-EAG-2;Lutkemeerpolder, polder;Lutkemee;OvWa_8050-EAG-2_Lutkemee;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1738472;43266;118105;
8050-EAG-3;Lutkemeerpolder, natuurgebied;Lutkemee;OvWa_8050-EAG-3_Lutkemee;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;534592;11867;54279;
8050-EAG-1;Lutkemeerpolder, Bisschopsmuts;Lutkemee;OvWa_8050-EAG-1_Lutkemee;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;668817;5714;43254;
3320-EAG-3;Loenderveen, Terra Nova landelijk zuid;Loenderv;OvWa_3320-EAG-3_Loenderv;NVT;NVT;M1a;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;983393;39763;142240;
3310-EAG-1;Loenderveen (GWA), Waterleidingkanaal;Loenderv;OvWa_3310-EAG-1_Loenderv;NVT;NVT;;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;241405;20744;132283;
6050-EAG-1;Krasseurstraat, Krasseurstraat;Krasseur;OvWa_6050-EAG-1_Krasseur;NVT;NVT;M8;;M10;;;;Overgenomen van GAF 6050;71807;1564;9117;
4140-EAG-5;Keverdijkse Overscheense Polder, Stadzicht;Keverdij;OvWa_4140-EAG-5_Keverdij;NVT;NVT;M8;M8;M8;;;;Overgenomen van 4140-EAG-4;115910;3990;4112;
4140-EAG-1;Keverdijkse Overscheense Polder,;Keverdij;OvWa_4140-EAG-1_Keverdij;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;723259;26661;36048;
4140-EAG-2;Keverdijkse Overscheense Polder,;Keverdij;OvWa_4140-EAG-2_Keverdij;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;586330;23565;23436;
4140-EAG-3;Keverdijkse Overscheense Polder,;Keverdij;OvWa_4140-EAG-3_Keverdij;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;595519;28996;50779;
4140-EAG-4;Keverdijkse Overscheense Polder,;Keverdij;OvWa_4140-EAG-4_Keverdij;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;119591;6991;38987;
7000-EAG-1;IJmeer, Markermeer, Gooimeer en Eemmeer, IJmeer, Bovenmaat;IJmeer, ;OvWa_7000-EAG-1_IJmeer, ;NVT;NVT;nvt;nvt;nvt;nvt;nvt;nvt;niet meenemen in toetsing;901036;5737;44739;
7100-EAG-1;Huizen (west), Kwelvijvers;Huizen (;OvWa_7100-EAG-1_Huizen (;NVT;NVT;M1a;M1a;M3;;;;Watertype nog nakijken (geoweb/gis doet niet);322141;3944;30687;
7100-EAG-2;Huizen (west), Huizermaat;Huizen (;OvWa_7100-EAG-2_Huizen (;NVT;NVT;M1a;M1a;M3;;;;Watertype nog nakijken (geoweb/gis doet niet);2244206;8540;55159;
7020-EAG-1;Huizen (oost), Bijvanck en Vierde Kwadrant;Huizen (;OvWa_7020-EAG-1_Huizen (;NVT;NVT;M1a;NTB;M3;;;;Overgenomen van GAF 7020;2157198;15122;63280;
3220-EAG-6;Horstermeerpolder en Meeruiterdijksche Polder, Spiegelpolder zuid;Horsterm;OvWa_3220-EAG-6_Horsterm;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;223244;7658;13846;
3220-EAG-2;Horstermeerpolder en Meeruiterdijksche Polder, polder;Horsterm;OvWa_3220-EAG-2_Horsterm;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4557583;297122;358557;
3220-EAG-4;Horstermeerpolder en Meeruiterdijksche Polder, Meeruiterdijksche Polder zuid;Horsterm;OvWa_3220-EAG-4_Horsterm;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;765434;26259;29136;
3220-EAG-5;Horstermeerpolder en Meeruiterdijksche Polder, Meeruiterdijksche Polder noord;Horsterm;OvWa_3220-EAG-5_Horsterm;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;190569;3450;4244;
3220-EAG-1;Horstermeerpolder en Meeruiterdijksche Polder, Korremof;Horsterm;OvWa_3220-EAG-1_Horsterm;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;841020;26111;60547;
3220-EAG-3;Horstermeerpolder en Meeruiterdijksche Polder, Anko zuid;Horsterm;OvWa_3220-EAG-3_Horsterm;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1564490;77914;88335;
3210-EAG-3;Horn- en Kuyerpolder, Stedelijk gebied Nederhorst Den Berg;Horn- en;OvWa_3210-EAG-3_Horn- en;NVT;NVT;M1a;M1a;M1a;M1a;;;Overgenomen van GAF 3210;748146;25660;66091;
3210-EAG-2;Horn- en Kuyerpolder, gestuwde gebieden;Horn- en;OvWa_3210-EAG-2_Horn- en;NVT;NVT;M1a;M1a;M1a;M1a;;;Overgenomen van GAF 3210;445556;18533;19956;
3210-EAG-1;Horn- en Kuyerpolder, bemalen gebied;Horn- en;OvWa_3210-EAG-1_Horn- en;NVT;NVT;M1a;M1a;M1a;M1a;;;Overgenomen van GAF 3210;1296596;51931;55499;
2512-EAG-1;Hoogwaterzone Amstelkade P2, Hoogwaterzone Amstelkade P2;Hoogwate;OvWa_2512-EAG-1_Hoogwate;NVT;NVT;;;M8;M8;;niet meegenomen in analyse watertypen, schatting;KRWWaterTypes en Opmerking1 overgenomen uit 2016;167973;7109;27381;
2511-EAG-1;Hoogwaterzone Amstelkade P1, Hoogwaterzone Amstelkade P1;Hoogwate;OvWa_2511-EAG-1_Hoogwate;NVT;NVT;M8;M8;M10;M10;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;294005;13831;48603;
2380-EAG-1;Honderdsche polder west, Honderdsche polder west;Honderds;OvWa_2380-EAG-1_Honderds;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2340;1025451;34548;48528;
4210-EAG-4;Hollands Ankeveensche Polder, Hollandsch Ankeveensche Polder oost;Hollands;OvWa_4210-EAG-4_Hollands;NVT;NVT;M8;M8;M10;M10;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1667060;64807;256377;
3070-EAG-1;Holland, Sticht, Voorburg en Polder het Honderd oost, Voorburg;Holland,;OvWa_3070-EAG-1_Holland,;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1187937;40267;54113;
3070-EAG-2;Holland, Sticht, Voorburg en Polder het Honderd oost, Nog opknippen in  EAG's;Holland,;OvWa_3070-EAG-2_Holland,;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;5422598;183008;341406;
2240-EAG-1;Holendrechter- en Bullewijker Polder (zuid en west), zuid en west;Holendre;OvWa_2240-EAG-1_Holendre;NVT;NVT;M8;M8;M8;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1758045;68430;187522;
6480-EAG-3;Hoeker- en Garstenpolder, oost;Hoeker- ;OvWa_6480-EAG-3_Hoeker- ;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6480;1494423;49172;61560;
6480-EAG-2;Hoeker- en Garstenpolder, noord;Hoeker- ;OvWa_6480-EAG-2_Hoeker- ;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6480;848747;24663;31646;
6480-EAG-1;Hoeker- en Garstenpolder, bemalen gebied;Hoeker- ;OvWa_6480-EAG-1_Hoeker- ;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6480;2823331;90278;122990;
4230-EAG-1;Hilversumse Ondermeent, Hilversumse Ondermeent;Hilversu;OvWa_4230-EAG-1_Hilversu;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1277624;37461;52811;
4240-EAG-1;Hilversumse Meent, Hilversumse Meent;Hilversu;OvWa_4240-EAG-1_Hilversu;NVT;NVT;M10;M1a;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;888804;9175;61510;
4200-EAG-1;Heintjesrak- en Broekerpolder, nabij Faunapassage;Heintjes;OvWa_4200-EAG-1_Heintjes;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 4200;199196;6901;8239;
4200-EAG-3;Heintjesrak- en Broekerpolder, Heintjesrakpolder;Heintjes;OvWa_4200-EAG-3_Heintjes;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 4200;874663;27485;30741;
4200-EAG-2;Heintjesrak- en Broekerpolder, Broekerpolder;Heintjes;OvWa_4200-EAG-2_Heintjes;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 4200;1239632;37710;41991;
7050-EAG-1;Haveneiland, Haveneiland;Haveneil;OvWa_7050-EAG-1_Haveneil;NVT;NVT;M1a;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1298602;12622;144280;
2510-EAG-1;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Heicop & Geer;Groot Wi;OvWa_2510-EAG-1_Groot Wi;NVT;NVT;M8;M8;M10;M10;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;8793095;383349;1106097;
2510-EAG-3;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Bovenland;Groot Wi;OvWa_2510-EAG-3_Groot Wi;NVT;NVT;M8;M1a;M10;M10;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4055058;171645;711495;
2510-EAG-2;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Armenland;Groot Wi;OvWa_2510-EAG-2_Groot Wi;NVT;NVT;M1a;M1a;M8;M8;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;30042;2139;2599;
3050-EAG-1;Gemeenschapspolder zuid-oost, Gemeenschapspolder zuid-oost;Gemeensc;OvWa_3050-EAG-1_Gemeensc;NVT;NVT;;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;774568;8277;28183;
3050-EAG-2;Gemeenschapspolder zuid-oost, Bloemendalerpolder Weesp;Gemeensc;OvWa_3050-EAG-2_Gemeensc;NVT;NVT;M1a;M8;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;398393;2739;8072;
2310-EAG-1;Gemeenschapspolder West, landelijk;Gemeensc;OvWa_2310-EAG-1_Gemeensc;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4043171;136522;314750;
2310-EAG-2;Gemeenschapspolder West, Driemond;Gemeensc;OvWa_2310-EAG-2_Gemeensc;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;144145;3428;4957;
6420-EAG-1;Gemeenschapspolder West (Tuincomplex Linnaeus), Gemeenschapspolder West (Tuincomplex Linnaeus);Gemeensc;OvWa_6420-EAG-1_Gemeensc;NVT;NVT;M8;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;211903;11823;39487;
2370-EAG-1;Gemeenschapspolder West (Betlem), Gemeenschapspolder West (Betlem);Gemeensc;OvWa_2370-EAG-1_Gemeensc;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;397967;9265;23820;
3303-EAG-1;Gansenhoef west, Gansenhoef west;Gansenho;OvWa_3303-EAG-1_Gansenho;NVT;NVT;;M1a;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;364634;7866;11001;
3301-EAG-2;Gansenhoef oost, Staatsbosbheer;Gansenho;OvWa_3301-EAG-2_Gansenho;NVT;NVT;M1a;M1a;M11;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;28342;1184;5217;
3301-EAG-1;Gansenhoef oost, Gansenhoef;Gansenho;OvWa_3301-EAG-1_Gansenho;NVT;NVT;M1a;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;797212;34281;118034;
2160-EAG-1;Fred Roeskestraat, Fred Roeskestraat;Fred Roe;OvWa_2160-EAG-1_Fred Roe;NVT;NVT;;;M1a;;;niet meegenomen in analyse watertypen, schatting;KRWWaterTypes en Opmerking1 overgenomen uit 2016;145770;2411;8684;
9030-EAG-1;Florapark (zuid), Florapark (zuid);Florapar;OvWa_9030-EAG-1_Florapar;NVT;NVT;M1a;M1a;M11;;;stadspark;Overgenomen van GAF 9030;35407;537;3798;
9020-EAG-1;Florapark (noord), Florapark (noord);Florapar;OvWa_9020-EAG-1_Florapar;NVT;NVT;;;M11;;;niet meegenomen in analyse watertypen, schatting;Overgenomen van GAF 9020;155869;1065;8980;
2020-EAG-1;Flevopark, Flevopark;Flevopar;OvWa_2020-EAG-1_Flevopar;NVT;NVT;M10;M1a;M11;;;stadspark;KRWWaterTypes en Opmerking1 overgenomen uit 2016;442817;8298;39590;
1010-EAG-1;Erasmuspark, Erasmuspark;Erasmusp;OvWa_1010-EAG-1_Erasmusp;NVT;NVT;M10;M10;M11;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;112020;2299;18956;
2506-EAG-1;Eilinzon, Eilinzon;Eilinzon;OvWa_2506-EAG-1_Eilinzon;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;37271;1879;5528;
7040-EAG-1;Eiland Zeeburg, Eiland Zeeburg;Eiland Z;OvWa_7040-EAG-1_Eiland Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 7040;950376;14636;39449;
7110-EAG-1;Eiland Zeeburg (zuid), Eiland Zeeburg (zuid);Eiland Z;OvWa_7110-EAG-1_Eiland Z;NVT;NVT;M1a;M1a;M3;;;;Watertype nog nakijken (geoweb/gis doet niet);72596;1282;3931;
7080-EAG-1;Eiland Zeeburg (oost), Eiland Zeeburg (oost);Eiland Z;OvWa_7080-EAG-1_Eiland Z;NVT;NVT;;;;;;;Overgenomen van GAF 7080;81935;1167;2387;
2270-EAG-1;Duivendrechtsepolder noord en midden;Duivendr;OvWa_2270-EAG-1_Duivendr;NVT;NVT;M8;M8;M8;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2975955;96582;192852;
2010-EAG-1;Diemerpolder, Diemen-Noord;Diemerpo;OvWa_2010-EAG-1_Diemerpo;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1608996;43557;145149;
2010-EAG-2;Diemerpolder, Diemen;Diemerpo;OvWa_2010-EAG-2_Diemerpo;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1724280;29208;96322;
8010-EAG-2;De Lange Bretten, polder;De Lange;OvWa_8010-EAG-2_De Lange;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1223667;36496;126829;
8010-EAG-1;De Lange Bretten, natuurgebied;De Lange;OvWa_8010-EAG-1_De Lange;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1040105;27775;106422;
7010-EAG-1;De Gooise Zomerkade, De Gooise Zomerkade;De Goois;OvWa_7010-EAG-1_De Goois;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 7010;2117110;48426;74379;
7010-EAG-2;De Gooise Zomerkade, Blaricummer Meent;De Goois;OvWa_7010-EAG-2_De Goois;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 7010;927563;15187;54396;
7030;Buitendijksgebied Naarden en Muiderberg;Buitendi;OvWa_7030_Buitendi;NVT;NVT;M1a;M10;M3;;;;Overgenomen van GAF 7030;1698002;20757;154621;
2610-EAG-1;Buitendijkse Oosterpolder, Buitenwesterpolder en Blokland (noord), bemalen gebied;Buitendi;OvWa_2610-EAG-1_Buitendi;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 2610;2610659;110927;307052;
4120-EAG-1;Buitendijken ten Noorden van Naarden, Schapenmeent;Buitendi;OvWa_4120-EAG-1_Buitendi;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 4120;626629;3963;14682;
4120-EAG-2;Buitendijken ten Noorden van Naarden, Haverland;Buitendi;OvWa_4120-EAG-2_Buitendi;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 4120;472395;9556;15026;
9040-EAG-1;Buiksloterweg, Buiksloterweg;Buikslot;OvWa_9040-EAG-1_Buikslot;NVT;NVT;M1a;M1a;M11;;;stadspark;Overgenomen van GAF 9040;16240;303;2602;
9010-EAG-1;Buiksloterdijk, Buiksloterdijk;Buikslot;OvWa_9010-EAG-1_Buikslot;NVT;NVT;M1a;;M10;;;stadspark;Overgenomen van GAF 9010;50009;937;4860;
2230-EAG-1;Broekzijdse Polder, landelijk;Broekzij;OvWa_2230-EAG-1_Broekzij;NVT;NVT;M1a;M8;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2469087;91709;170042;
2230-EAG-2;Broekzijdse Polder, Abcoude;Broekzij;OvWa_2230-EAG-2_Broekzij;NVT;NVT;M1a;M8;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;710948;13851;43294;
6460-EAG-2;Breukelen Noord, landelijk;Breukele;OvWa_6460-EAG-2_Breukele;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;187174;8692;19741;
6460-EAG-1;Breukelen Noord, Breukelen Noord;Breukele;OvWa_6460-EAG-1_Breukele;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;795904;12332;41015;
6580-EAG-1;Breukelen boezempeil, Breukelen boezempeil;Breukele;OvWa_6580-EAG-1_Breukele;NVT;NVT;;;;;;;Overgenomen van GAF 6580;173963;833;1373;
1030-EAG-1;BP Huis Te Vraag, BP Huis Te Vraag;BP Huis ;OvWa_1030-EAG-1_BP Huis ;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;41938;1959;3690;
2120-EAG-1;Bovenkerkerpolder, landelijk;Bovenker;OvWa_2120-EAG-1_Bovenker;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;8587053;347096;543448;
2120-EAG-3;Bovenkerkerpolder, Amstelveen;Bovenker;OvWa_2120-EAG-3_Bovenker;NVT;NVT;M1a;M1a;M3;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;5197383;61925;278999;
2120-EAG-2;Bovenkerkerpolder, Amsteldijk Zuid;Bovenker;OvWa_2120-EAG-2_Bovenker;NVT;NVT;M1a;M1a;M8;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1516075;59867;174526;
2625-EAG-1;Blokland, Blokland;Blokland;OvWa_2625-EAG-1_Blokland;NVT;NVT;M10;M10;M8;;;;Voorheen 2620-EAG-3;2878299;131298;451823;
6530-EAG-2;Bloemendalerpolder en Gemeenschapspolder Oost, langs de Vecht;Bloemend;OvWa_6530-EAG-2_Bloemend;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;228521;8664;11690;
6530-EAG-1;Bloemendalerpolder en Gemeenschapspolder Oost, bemalen;Bloemend;OvWa_6530-EAG-1_Bloemend;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4048346;138252;224645;
3040-EAG-1;Bloemendalerpolder (noord), Bloemendalerpolder (noord);Bloemend;OvWa_3040-EAG-1_Bloemend;NVT;NVT;;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1042140;15691;35345;
3260-EAG-1;Blijkpolder, Blijkpolder;Blijkpol;OvWa_3260-EAG-1_Blijkpol;NVT;NVT;M1a;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;448193;7239;72188;
2100-EAG-1;Binnendijkse Buitenvelderse Polder, Binnendijkse Buitenvelderse Polder;Binnendi;OvWa_2100-EAG-1_Binnendi;NVT;NVT;M1a;M10;M3;M1b;;;Overgenomen van GAF 2100;5552183;52256;395087;
2210-EAG-1;Bijlmer, Bijlmer;Bijlmer,;OvWa_2210-EAG-1_Bijlmer,;NVT;NVT;M10;M8;M30;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;6188281;49164;512696;
3311-EAG-1;Bethunepolder,;Bethunep;OvWa_3311-EAG-1_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;2528251;110911;229050;
3311-EAG-10;Bethunepolder,;Bethunep;OvWa_3311-EAG-10_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;63416;4572;5430;
3311-EAG-2;Bethunepolder,;Bethunep;OvWa_3311-EAG-2_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;190451;4698;12486;
3311-EAG-3;Bethunepolder,;Bethunep;OvWa_3311-EAG-3_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;924142;19287;21971;
3311-EAG-5;Bethunepolder,;Bethunep;OvWa_3311-EAG-5_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;53585;2464;5055;
3311-EAG-6;Bethunepolder,;Bethunep;OvWa_3311-EAG-6_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;356786;10130;19657;
3311-EAG-7;Bethunepolder,;Bethunep;OvWa_3311-EAG-7_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;375596;20256;41597;
