koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Initiatiefnemer.waternet;EUFonds.code;Kosten;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen GtH;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast
402;;NL11;NL11_2_10;Polder Demmerik;;Verdiepen watergangen in gehele polder Demmerik;SGBP3 2021-2027;2021-2027;Voordat de maatregel kan worden doorgevoerd moeten bronnen van baggeraanwas en de snelheid waarmee er opnieuw bagger ontstaat  onvoldoende bekend zijn. Er zijn mogelijk ook viswerende maatregelen nodig. Nu wordt er ingeschat dat vrijwel het gehele ondiepe areaal op diepte kan worden gebracht. In de praktijk kan het zijn dat dit niet mogelijk is (door loopzand, instabiliteit oevers of opbarstingsrisico's).;IN12;WB;;4;ha;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;ACTIE Laura maakt schatting van m3 obv waterdiepte vergeleken met 35cm en oppervlak. Prijs m3 baggeren met spuit.;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton;0;0;0;0;0;0;;;;Op diepte brengen;;mogelijk aanvullende maatregelen nodig: deels bestuurlijk vastgesteld ;DAW, agrarische collectieven;Waterdiepte op Maat;;;ESF4;1;1/0;;0;2027;NL11_2_3;LM_20190916
678;;NL11;NL11_2_10;Polder Demmerik;;Natuurvriendelijk onderhoud van lijnvormige secundaire watergangen: instrumenteel;SGBP3 2021-2027;2021-2027;Hier vallen instrumentele maatregelen onder: beheer en onderhoudsprogramma AGV/ KEUR AGV. In KEURregels moeten minder frequent schonen toestaan. Dit is een maatregel in meerdere waterlichamen waar dit relevant is.;BE03;MW;;;km;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden EMERS en SUBMERS;;bestuurlijk vastgesteld;Waterschap Amstel Gooi en Vecht;Programma agrarisch waterbeheer;;;ESF6;1;1/0;;0;2027;NL11_2_3;GH_20191205
398;;NL11;NL11_2_10;Polder Demmerik;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente De Ronde Venen en Stichtse Vecht, Provincie Utrecht;Beheer en onderhoudsprogramma;;;ESF6;1;1/0;;0;2027;NL11_2_3;GH_20191205
169;71317;NL11;NL11_3_1;Sloterplas;91007;Beperken van inlaten vanuit andere gebieden;SGBP1 2009-2015;2009-2015;gemaal nico broekhuizen wordt geknepen, suizen waar doorheen gevaren wordt kunnen we niet tegenhouden door functie… staat op vervangen;IN02;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=8000.00;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;1;0;;;;P-belasting verlagen;;vervangen;Gemeente Amsterdam;;;;ESF1;0;mg/m2/dag;;1;nvt;NL11_3_1;LM_20190916
170;71315;NL11;NL11_3_1;Sloterplas;91005;Omleiden van regenwateruitlaten;SGBP1 2009-2015;niet;70-80% is eraf;IN02;WB;;1;n;j;;Gemeente;Gemeente Amsterdam;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=1300000.00;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;1;;;;P-belasting verlagen;;ingetrokken;Waterschap Amstel Gooi en Vecht;;;;ESF1;0;mg/m2/dag;;1;nvt;NL11_3_1;LM_20190916
172;71314;NL11;NL11_3_1;Sloterplas;91002;Onderzoeken maatregelen rondom Sloterplas;SGBP1 2009-2015;2009-2015;Het betreft het uitvoeren van drie deelonderzoeken:1 Onderzoeken mogelijkheden visstandbeheer2 Onderzoeken mogelijkheden aanleg helofytenfilter voor zuiveren afstromend hemelwater3 Onderzoeken mogelijkheden en effecten verondiepen Sloterplas met bagger;S01;WB;;3;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=188000.00;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;3;0;0;0;;;;Onderzoek;;uitgevoerd;Gemeente Amsterdam;;;;ESF1, ESF4;0;nvt;;1;2016;NL11_3_1;LM_20190916
173;71380;NL11;NL11_3_1;Sloterplas;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;uitgevoerd;geen;;;;ESF4;0;1/0;;1;2016;NL11_3_1;LM_20190916
174;71301;NL11;NL11_3_1;Sloterplas;90900;Verwijderen drijflagen op en rondom zwemwaterlocatie;SGBP1 2009-2015;niet;Het betreft het verwijderen van drijfalgen op ongeveer 5 hectare in de plas;BE03;WB;;0.0001;km;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=12000.00;;;;;;0;0;0;0;0;0.0001;;;;Niet relevant;;ingetrokken;Gemeente Amsterdam;;;;NVT;0;nvt;;1;nvt;NL11_3_1;LM_20190916
300;71316;NL11;NL11_3_1;Sloterplas;91006;Uitvoeren maatregelen om Sloterplas van externe belasting te isoleren;SGBP1 2009-2015;2009-2015;;IN02;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=330000.00|Beheer en Onderhoud per planperiode=0.00;;;KTM7;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;gefaseerd;Gemeente Amsterdam;;;;ESF1;0;mg/m2/dag;;1;nvt;NL11_3_1;LM_20190916
183;76572;NL11;NL11_3_1;Sloterplas;SL-x;Beperken fosfaatbelasting uit park en inliggende watergangen;SGBP2 2015-2021;2015-2021;PLIKO proef (ijzerhoudende drains). Dit heeft alleen maar zin als de plas geisoleerd wordt. Op zichzelf staand levert dit onvoldoende beslating reductie op. In het park zelf is het duurzamer om op te hogen ipv te draineren.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;NL_KTM2A;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;gefaseerd;Gemeente Amsterdam;;;;ESF1;0;mg/m2/dag;;1;2021;NL11_3_1;LM_20190916
184;76573;NL11;NL11_3_1;Sloterplas;SL-xx;Beperken interne belasting Sloterplas (waterbodem);SGBP2 2015-2021;2015-2021;Dit zat ook in pakket, met isolatie en is niet zinvol te doen zonder isolatie.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM4;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;gefaseerd;Gemeente Amsterdam;;;;ESF1;0;mg/m2/dag;;1;2021;NL11_3_1;LM_20190916
185;76515;NL11;NL11_3_1;Sloterplas;91006;Isoleren Sloterplas van externe belasting;SGBP2 2015-2021;2015-2021;gefaseerd…;IN02;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM7;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;gefaseerd;Gemeente Amsterdam;;;;ESF1;0;mg/m2/dag;;1;2021;NL11_3_1;LM_20190916
314;76514;NL11;NL11_3_1;Sloterplas;91003;Herstel natuurvriendelijke oevers volgens inrichtingsplan Sloterplas;SGBP2 2015-2021;2015-2021;Dit is een oude maatregel, nooit ingetrokken (?) en geldt als bestaand plan. De oevers, ook die van het moerasgebied, zijn zwaar overgroeid door bomen. Het plan was om het rietland weer te herstellen.;IN08;WB;;1;km;j;;Gemeente;Gemeente Amsterdam;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM6;;Macrofauna_Overige Waterflora_Vis;0;0;0;1;0;0;;;;Open landschap herstellen;;gefaseerd;Waterschap Amstel Gooi en Vecht;;;;ESF2, ESF4;0;% van bebost;;1;2021;NL11_3_1;LM_20190916
624;;NL11;NL11_3_1;Sloterplas;;Kleinere maximumhoeveelheid toestaan voor het onttrekken en lozen van water aan of op oppervlaktewateren;SGBP3 2021-2027;2021-2027;Zonder vergunning of melding maximaal 500 m³ (500.000 liter) water per uur uit boezemwater halen. Dit zijn rivieren of kanalen die hoger liggen dan het land achter de dijk. Voor wateren zoals grachten en ander water in de stad geldt een maximum van 120 m³ per uur. Nabij (in hetzelfde peilvak) diepe plassen en kleine ondiepe plassen willen we ontrekkingen zoveel mogelijk voorkomen, door een altervnatieve locatie te zoeken in een ander peilvak. Kan het niet anders dan is een maximum van 20 m³ per uur (dit is nog steeds een vergelijkbare hoeveelheid als het inlaatdebiet van b.v. de Gaasperplas) toegestaan.;G04;MW;;;-;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Instrumentele maatregel;niet meegenomen in doelafleiding;aanpassen beleid KEUR: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;SGBP3;;;ESF1;0;mg/m2/dag;;0;2027;NL11_3_1;LM_20200318
404;;NL11;NL11_3_1;Sloterplas;;Schutverlies voorkomen met nieuwe doorvaarbare sluizen;SGBP3 2021-2027;2021-2027;Negatieve maatregel?? : de verwachting is dat dit geen grote impact heeft.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;Gemeente Amsterdam;SGBP3;SGBP3;Elina Bekking;ESF1;0;mg/m2/dag;;0;2027;NL11_3_1;LM_20190916
405;;NL11;NL11_3_1;Sloterplas;;Stimuleren filtering door quagga mossels;SGBP3 2021-2027;2021-2027;Vooral in het westen-midden van de plas: structuur aanbrengen waar mossels op kunnen groeien.;BE03;WB;;1;km;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;10000000;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - overig;0;0;0;0;0;0;;;;Mosselen stimuleren;;afweging kosten: bestuurlijke keuze;Gemeente Amsterdam;SGBP3;;;ESF2;1;1/0;;0;2027;NL11_3_1;LM_20190916
406;;NL11;NL11_3_1;Sloterplas;;Verondiepen van het zuidelijk deel van de Sloterplas;SGBP3 2021-2027;2021-2027;Deze maatregel staat in het bestuursvoorstel. Verondiepen van de plas voor vegetaties in het zuidelijk deel van de plas. Er wordt nog gekeken naar ontwerpen die technisch haalbaar zijn in andere delen van de plas. Deze levert alleen in een ondiep deel van de plas winst op. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid. Als vooral diepe delen van de plas worden afgedekt, dan kan ook de wegzijging verminderen (ESF1) en de bodem afdekken (ESF1).;IN13;WB;;9.02;ha;?;;Gemeente;Gemeente Amsterdam;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton;1;0;0;0;0;0;;;;Verondiepen;;afweging kosten: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;SGBP2;SGBP2;;ESF2, ESF4;9.02;ha;;0;2027;NL11_3_1;GtH
408;;NL11;NL11_3_1;Sloterplas;;N-pakket als alternatief voor isoleren, verondiepen (?) en beperken interne belasting waterbodem: Verplaatsten gemaal Nico broekhuizen, stikstofverwijdering door inrichting met onderwaterplanten in de gecombineerde polders;SGBP3 2021-2027;2021-2027;"Om de aquatische ecologie te verbeteren is het van belang om óf de fosfor-, óf de stikstofconcentraties laag te laten zijn. Sturen op stikstof wordt veel minder toegepast dan sturen op fosfor, vooral omdat het technisch meestal eenvoudiger is om fosfor te verwijderen. Bij de Sloterplas wordt fosforverwijdering in de gehele polder onhaalbaar geacht vanwege de extreem hoge concentraties. Stikstofverwijdering lijkt wel een optie omdat de concentraties al veel lager zijn. Dit kan met innovatieve, natuurlijke en circulaire technieken. Zo kan met drijflanden (drijvende eilanden) of andere constructies een slecht ingerichte watergang grootschalig met water- en landplanten worden uitgerust. Dit levert directe winst op voor de biodiversiteit in het water en op het gecreëerde land. De oogst wordt gebruikt om biocomposiet te maken. Het verplaatsen van het gemaal levert een zeer grote reductie in de stikstof en fosforbelasting van de gehele polder (80%), maar is waarschijnlijk onvoldoende om de fosforbelasting van de plas te reduceren tot onder de toelaatbare fosforbelasting. De kwaliteit van de polder en aanvoerwater kan hiermee wel veel verbeteren. Wanneer de kwaliteit van de polder verbetert, dan wordt de stikstofverwijdering in de polder ook groter en zal de plas daarvan profiteren. Nabij het oude gemaal lekt oppervlaktewater van veenweide richting Eendracht, dus het renoveren van dit gemaal en lek zou een win-win kunnen zijn voor een aanzienlijk oppervlak. 
 ";IM12;WB;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;ACTIE GE: Bij Baron Schimmelpennink gemaal maken.;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;Gemeente Amsterdam;SGBP3;;;ESF1;?;mg/m2/dag;;0;2027;NL11_3_1;LM_20190916
665;;NL11;NL11_3_1;Sloterplas;SL-x;Beperken fosfaatbelasting uit park en inliggende watergangen;SGBP3 2021-2027;2021-2027;PLIKO proef (ijzerhoudende drains). Dit heeft alleen maar zin als de plas geisoleerd wordt. Op zichzelf staand levert dit onvoldoende beslating reductie op. In het park zelf is het duurzamer om op te hogen ipv te draineren.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;NL_KTM2A;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;1;0;0;0;0;0;;;;P-belasting verlagen;;faseren tot andere maatregelen zijn uitgevoerd;Gemeente Amsterdam;;;;ESF1;0.26;mg/m2/dag;;1;2027;NL11_3_1;LM_20190916
666;;NL11;NL11_3_1;Sloterplas;SL-xx;Beperken van de interne belasting in de Sloterplas (waterbodem);SGBP3 2021-2027;2021-2027;Dit zat ook in pakket, met isolatie en is niet zinvol te doen zonder isolatie.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM4;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;1;0;0;0;0;0;;;;P-belasting verlagen;;faseren tot andere maatregelen zijn uitgevoerd;Gemeente Amsterdam;;;;ESF1;5.89;mg/m2/dag;;1;2027;NL11_3_1;LM_20190916
667;;NL11;NL11_3_1;Sloterplas;91006;Sloterplas isoleren van externe belasting;SGBP3 2021-2027;2021-2027;;IN02;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM7;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;1;0;0;0;0;0;;;;P-belasting verlagen;;afweging verlies functie: bestuurlijke keuze;Gemeente Amsterdam;;;;ESF1;17.46;mg/m2/dag;;1;2027;NL11_3_1;LM_20190916
668;;NL11;NL11_3_1;Sloterplas;91003;Herstel natuurvriendelijke oevers volgens inrichtingsplan Sloterplas;SGBP3 2021-2027;2021-2027;Dit is een oude maatregel, nooit ingetrokken (?) en geldt als bestaand plan. De oevers, ook die van het moerasgebied, zijn zwaar overgroeid door bomen. Het plan was om het rietland weer te herstellen.;IN08;WB;;1;km;j;;Gemeente;Gemeente Amsterdam;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM6;;Macrofauna_Overige Waterflora_Vis;1;0;0;0;0;0;;;;Open landschap herstellen;;faseren tot andere maatregelen zijn uitgevoerd;Waterschap Amstel Gooi en Vecht;;;;ESF2, ESF4;657.233.767;% van bebost;;1;2027;NL11_3_1;LM_20190916
403;;NL11;NL11_3_1;Sloterplas;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente Amsterdam, Provincie Noord-Holland;Beheer en onderhoudsprogramma;;;ESF6;1;1/0;;0;2027;NL11_3_1;GH_20191205
162;;NL11;NL11_3_6;Spiegelplas;;Onderzoek: verminderen fosforbelasting vanuit stedelijk gebied Nederhorst den Berg;Niet opgenomen in SGBP;2015-2021;Er komt 5x zoveel fosfor uit het stedelijk gebied dan er wordt ingelaten: in dit onderzoek wordt uitgezocht welke bronnen dit veroorzaken. ;S06;WB;;1;n;n;;Waterschap;Waterschap Amstel Gooi en Vecht;;opzoeken;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;Onderzoek;;in voorbereiding;Gemeente Wijde meren;operationeel beheer;;;ESF1;0;nvt;;0;2020;NL11_3_6;LM_20190916
176;71380;NL11;NL11_3_6;Spiegelplas;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;uitgevoerd;geen;;;;ESF4;0;1/0;;1;2016;NL11_3_6;LM_20190916
187;71363;NL11;NL11_3_6;Spiegelplas;91135;Aanleggen natuurvriendelijke oevers - fase 1;SGBP1 2009-2015;2009-2015;Het betreft de aanleg van natuurvriendelijke oeverlas langs sloten in het agrarisch gebied ten noordwesten van de Spiegelplas;IN07;WB;;1.75;km;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=171000.00|Beheer en Onderhoud per planperiode=0.00;NL_VOG_95;;KTM6;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;1.75;0;;;;Areaal nieuw;;vervangen;Provincie Noord-Holland;;;;ESF4;0;km;;1;nvt;NL11_3_6;LM_20190916
188;76541;NL11;NL11_3_6;Spiegelplas;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;SGBP2 2015-2021;2015-2021;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;BR01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95|NL_HAB_83;;KTM2;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;1;0;0;0;0;;;;P-belasting verlagen;;in uitvoering;DAW, agrarische collectieven, studieclubs, bedrijven;;;;ESF1;0;mg/m2/dag;NMI, 2019;1;2021;NL11_3_6;LM_20190916
189;76531;NL11;NL11_3_6;Spiegelplas;91135;Aanleggen natuurvriendelijke oevers;SGBP2 2015-2021;niet;;IN07;WB;;1.75;km;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_VOG_95;;KTM6;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;1.75;;;;Areaal nieuw;;ingetrokken;Provincie Noord-Holland;;;;ESF4;0;km;;1;nvt;NL11_3_6;LM_20190916
190;76577;NL11;NL11_3_6;Spiegelplas;x;Onderzoek vispasseerbaar maken sluizen, gemalen en stuwen ;SGBP2 2015-2021;2015-2021;De maatregel houdt in dat AGV gaat onderzoeken wat de meest kosteneffectieve manier is om de vismigratiebarriere tussen de Vecht en de Spiegelplas op te heffen  (het gemaal visvriendelijk te maken en/of extra schutten bij de Zanderijsluis in periodes dat vis wil trekken er er weinig vaarverkeer is). De uitvoeringstermijn hangt af van een gebiedsbrede prioritering voor het oplossen van vismigratieknelpunten, die nog plaats moet vinden.;S01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM14;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;1;0;0;0;0;;;;Vis;;in uitvoering;geen;;;;ESF5;0;nvt;;1;2021;NL11_3_6;LM_20190916
215;76564;NL11;NL11_3_6;Spiegelplas;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;SGBP2 2015-2021;2015-2021;Het gaat om stuw de Googh tussen Stichts Ankeveen en de Spiegelplas met een de Wit-passage (2-zijdig) en om gemaal Spiegelplas. Dit zijn eigenlijk twee afzonderlijke maatregelen, maar kunnen niet worden opgesplitst omdat deze al is vastgesteld in SGBP2. De schade bij gemaal Spiegelplas is fors en betreft ook flink wat aal (die we nu opvangen met fuiken voor het gemaal). De maatregel om gemaal SPiegelplas vispasseerbaar te maken was eigenlijk voorzien in het WGP, maar daar uit gehaald vanwege de relatief hoge kosten. Het gaat hier om 1-zijdige passage de Spiegelplas uit. Via de sluis kan vis migereren van de Vecht naar de Spiegelplas. Er moet hierbij wel opgelet worden dat het ecoschutprogramma niet tot een grotere hoeveelheid inlaatwater richting de plassen leidt. Het gemaal van SAP (de Googh) wordt niet aangepast, het is een opvoergemaal/vijzel en er kan vanwege het overstortprincipe geen vis van boven (aan de kant van Stichts Ankeveen) in zwemmen die door de lokstroom wordt aangetrokken. Vanuit de Spiegelplas kan vis wel door dit gemaal heen. Deze vis zwemt dan door de pomp, maar hier is geen schade gevonden. De naastgelegen stuw de Googh wordt vispasseerbaar gemaakt door een vistrap ( 7 verdronken poorten van elk 6 cm verval) te maken parallel aan de stuw. Hier is 2-zijdige passage mogelijk. In plaats van over de stuw, gaat water in de toekomst dus door de vispassage. Door de vijzel bij te zetten kan ook bij gebrek aan water de passage aan worden gezet (in wezen pomp je dan water rond). Na voltooiing van de passage dient die ook gemonitord te worden.;IN15;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM5;;Vis;1;0;0;0;0;0;;;;Vis;;in uitvoering;geen;;;;ESF5;0;nvt;;1;2021;NL11_3_6;LM_20190916
628;;NL11;NL11_3_6;Spiegelplas;;Kleinere maximumhoeveelheid toestaan voor het onttrekken en lozen van water aan of op oppervlaktewateren;SGBP3 2021-2027;2021-2027;Zonder vergunning of melding maximaal 500 m³ (500.000 liter) water per uur uit boezemwater halen. Dit zijn rivieren of kanalen die hoger liggen dan het land achter de dijk. Voor wateren zoals grachten en ander water in de stad geldt een maximum van 120 m³ per uur. Nabij (in hetzelfde peilvak) diepe plassen en kleine ondiepe plassen willen we ontrekkingen zoveel mogelijk voorkomen, door een altervnatieve locatie te zoeken in een ander peilvak. Kan het niet anders dan is een maximum van 20 m³ per uur (dit is nog steeds een vergelijkbare hoeveelheid als het inlaatdebiet van b.v. de Gaasperplas) toegestaan.;G04;MW;;;-;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Instrumentele maatregel;niet meegenomen in doelafleiding;aanpassen beleid KEUR: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;SGBP3;;;ESF1;0;mg/m2/dag;;0;2027;;LM_20200318
